species	cancer_type	correlation
Ailurus_fulgens	colon	0.238262922188678
Ailurus_fulgens	colorectal	0.215419188329622
Ailurus_fulgens	endometrial	0.160665947836661
Ailurus_fulgens	gastric	0.200589038464106
Ailurus_fulgens	glioma	0.217260803500762
Ailurus_fulgens	head and neck	0.229073169174523
Ailurus_fulgens	hepatocellular	0.224403473232441
Ailurus_fulgens	intestine	0.167135763443945
Ailurus_fulgens	kidney	0.336394665931259
Ailurus_fulgens	leukaemia	0.154125314839398
Ailurus_fulgens	liver	0.266464349008504
Ailurus_fulgens	lung	0.293205573291549
Ailurus_fulgens	lymphoma	0.208947972327813
Ailurus_fulgens	melanoma	0.2592217232011
Ailurus_fulgens	mesothelioma	0.363602998354164
Ailurus_fulgens	oesophagus	0.116866434475381
Ailurus_fulgens	other tumour types	0.248180981590971
Ailurus_fulgens	ovarian	0.224001763107464
Ailurus_fulgens	paediatric	0.302401734773797
Ailurus_fulgens	pancreas	0.138503299439357
Ailurus_fulgens	prostate	0.185292141210583
Ailurus_fulgens	rare other tumour types	-0.132314951448472
Ailurus_fulgens	renal	0.161686715613866
Ailurus_fulgens	sarcoma	0.223066570257709
Ailurus_fulgens	skin	0.160914459715407
Ailurus_fulgens	small intestine	0.184768382804274
Ailurus_fulgens	soft tissue sarcoma	0.118532347286354
Ailurus_fulgens	testicular	-0.192166313745198
Ailurus_fulgens	thyroid	0.252576689262897
Ailurus_fulgens	urothelial	0.208170397947594
Ailurus_fulgens	uterine	0.172683753819938
Allactaga_bullata	all	0.199005216590368
Allactaga_bullata	bladder	0.227017317342921
Allactaga_bullata	breast	0.16919083216747
Allactaga_bullata	central nervous system	0.175997993853241
Allactaga_bullata	colon	0.249365885203709
Allactaga_bullata	colorectal	0.193068363865073
Allactaga_bullata	endometrial	0.152805927371539
Allactaga_bullata	gastric	0.180468495161388
Allactaga_bullata	glioma	0.249154987799279
Allactaga_bullata	head and neck	0.181022167410149
Allactaga_bullata	hepatocellular	0.209579555949186
Allactaga_bullata	intestine	0.177939549124572
Allactaga_bullata	kidney	0.28677478120553
Allactaga_bullata	leukaemia	0.111263506240957
Allactaga_bullata	liver	0.183826800783907
Allactaga_bullata	lung	0.239830452113918
Allactaga_bullata	lymphoma	0.176557921159464
Allactaga_bullata	melanoma	0.235617579472832
Allactaga_bullata	mesothelioma	0.292902937711912
Allactaga_bullata	oesophagus	0.175591509362847
Allactaga_bullata	other tumour types	0.222851124458095
Allactaga_bullata	ovarian	0.2017735706855
Allactaga_bullata	paediatric	0.169313681943543
Allactaga_bullata	pancreas	0.21740037269044
Allactaga_bullata	prostate	0.129121048816295
Allactaga_bullata	rare other tumour types	0.256745092885531
Allactaga_bullata	renal	0.147121987816838
Allactaga_bullata	sarcoma	0.225353705923709
Allactaga_bullata	skin	0.154457959852795
Allactaga_bullata	small intestine	0.212317629857076
Allactaga_bullata	soft tissue sarcoma	0.330475072140863
Allactaga_bullata	testicular	0.0649752087237636
Allactaga_bullata	thyroid	0.210726370422589
Allactaga_bullata	urothelial	0.263759768968514
Allactaga_bullata	uterine	0.162526562313199
Alouatta_palliata	all	0.593117484647823
Alouatta_palliata	bladder	0.593492126129956
Alouatta_palliata	breast	0.595593475037625
Alouatta_palliata	central nervous system	0.527706687172291
Alouatta_palliata	colon	0.602748602635868
Alouatta_palliata	colorectal	0.577595771441494
Alouatta_palliata	endometrial	0.560974230999659
Alouatta_palliata	gastric	0.58673766130166
Alouatta_palliata	glioma	0.610741557856479
Alouatta_palliata	head and neck	0.598712184767741
Alouatta_palliata	hepatocellular	0.612417244487444
Alouatta_palliata	intestine	0.608455875331416
Alouatta_palliata	kidney	0.625204197771096
Alouatta_palliata	leukaemia	0.507778131503309
